event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,45,45,5489255,5527156,5489246,0,1000,0,0,0
2,61,90,2796600,2797756,5681872,0,999,5,16,3
3,70,160,694938,712881,4441036,0,1000,0,0,7
4,53,213,5105780,5125393,4467380,0,995,2,0,2
5,52,249,4960723,4962020,5165704,5,997,5,16,9
6,57,298,850597,854147,4790702,0,1000,3,8,7
7,42,340,2918976,2962924,4502638,0,1001,1,0,2
8,58,398,1930446,1977527,4029870,0,1002,0,0,6
9,85,475,1820493,1822152,3588547,1,1005,4,8,23
10,28,503,7705076,7717708,3957615,39,1005,1,0,0
11,52,551,1959237,1980571,3771979,12,1003,2,4,2
12,74,625,1084391,1103317,3319670,0,1006,0,0,20
13,45,666,4175733,4201123,3400141,1,1013,2,4,0
14,54,712,5916976,5920069,3777990,2,1017,3,8,15
15,38,742,6027954,6033044,4081340,1,1019,3,8,12
16,72,806,1438039,1448545,3890584,0,1023,3,8,15
17,58,860,1789349,1811660,3719170,0,1027,2,4,0
18,60,908,987395,989673,3520272,28,1028,4,12,1
19,46,950,2339502,2356070,3389541,32,1033,2,4,0
20,37,987,4100339,4177218,3371365,32,1034,0,0,1
21,66,1053,1282163,1296103,3018182,15,1023,0,0,9
22,40,1093,6561045,6605758,3203899,15,1028,0,0,22
23,25,1106,7689952,7690750,3588230,44,1029,4,12,13
24,69,1167,1733843,1737319,3416620,5,1033,3,8,6
25,73,1232,535009,538421,3118579,7,1037,3,8,2
26,127,1355,1036185,1046539,2640436,21,1041,2,4,9
27,46,1393,3014363,3023025,2675114,12,1041,3,8,10
28,83,1468,2354808,2359336,2626034,3,1043,3,8,11
29,85,1545,2333341,2341862,2610110,2,1044,3,8,19
30,70,1599,449514,449983,2371750,17,1035,5,16,0
31,44,1631,4399745,4401483,2526859,0,1033,4,12,5
32,80,1699,413458,414080,2361264,15,1036,4,12,6
33,67,1754,3849274,3851351,2477715,0,1036,4,12,7
34,60,1802,2531708,2533541,2512700,6,1035,4,12,4
35,47,1849,3446872,3517110,2492809,6,1036,0,0,5
36,142,1979,218042,218297,2046934,2,1033,5,12,19
37,79,2038,729513,729822,1943224,1,1032,6,20,-1
38,59,2089,2951470,2955882,2017149,0,1037,3,8,2
